label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
7 35,960,1512,1769,711,DC98193_blur.jpg,4000,3000
THE LEGEND OF ZELDA,733,418,1930,155,DC98193_blur.jpg,4000,3000
Nintendo,1349,2863,807,131,DC98193_blur.jpg,4000,3000
GAME,3530,574,335,120,DC98193_blur.jpg,4000,3000
TIME,3542,968,329,137,DC98193_blur.jpg,4000,3000
PAUSE/RESET,3398,1345,562,167,DC98193_blur.jpg,4000,3000
SELECT,3404,1871,412,173,DC98193_blur.jpg,4000,3000
7 35,1857,1285,1709,747,DC98193_glare.jpg,4000,3000
Nintendo,2287,2659,813,143,DC98193_glare.jpg,4000,3000
THE LEGEND OF ZELDA,1588,173,1954,203,DC98193_glare.jpg,4000,3000
GAME & WATCH,10,299,699,633,DC98193_glare.jpg,4000,3000
7 35,1624,1506,1530,639,DC98193_ideal.jpg,4000,3000
Nintendo,1976,2737,687,143,DC98193_ideal.jpg,4000,3000
THE LEGEND OF ZELDA,1396,472,1739,215,DC98193_ideal.jpg,4000,3000
GAME & WATCH,10,568,616,556,DC98193_ideal.jpg,4000,3000
B,3835,2809,143,143,DC98193_ideal.jpg,4000,3000
7 35,1749,944,1602,771,DC98193_rotated.jpg,4000,3000
THE LEGEND OF ZELDA,1432,269,1357,323,DC98193_rotated.jpg,4000,3000
GAME & WATCH,70,729,693,556,DC98193_rotated.jpg,4000,3000
Nintendo,2275,2038,1070,394,DC98193_rotated.jpg,4000,3000
GAME,3315,251,329,90,DC98193_rotated.jpg,4000,3000
TIME,3500,460,305,108,DC98193_rotated.jpg,4000,3000
PAUSE/RESET,3566,669,388,149,DC98193_rotated.jpg,4000,3000
