label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
400W,354,780,49,46,dc9558_glare.jpg,964,1280
800W,405,780,46,45,dc9558_glare.jpg,964,1280
1200W,456,781,45,45,dc9558_glare.jpg,964,1280
1600W,507,781,44,44,dc9558_glare.jpg,964,1280
2000W,556,782,44,43,dc9558_glare.jpg,964,1280
ON/OFF,742,813,100,109,dc9558_glare.jpg,964,1280
FRY,651,835,91,88,dc9558_glare.jpg,964,1280
WARM,559,832,89,88,dc9558_glare.jpg,964,1280
HOTPOT,467,834,91,82,dc9558_glare.jpg,964,1280
400W,574,455,59,55,dc97558_blurry.jpg,1280,964
800W,641,454,51,55,dc97558_blurry.jpg,1280,964
1200W,699,455,52,55,dc97558_blurry.jpg,1280,964
1600W,760,455,56,56,dc97558_blurry.jpg,1280,964
2000W,823,454,57,56,dc97558_blurry.jpg,1280,964
ON/OFF,1069,492,143,135,dc97558_blurry.jpg,1280,964
FRY,949,517,120,110,dc97558_blurry.jpg,1280,964
WARM,826,517,123,110,dc97558_blurry.jpg,1280,964
HOTPOT,714,517,111,111,dc97558_blurry.jpg,1280,964
400W,356,776,44,39,dc97558_ideal.jpg,964,1280
800W,406,776,43,35,dc97558_ideal.jpg,964,1280
1200W,453,776,39,34,dc97558_ideal.jpg,964,1280
1600W,497,776,42,36,dc97558_ideal.jpg,964,1280
2000W,542,776,44,34,dc97558_ideal.jpg,964,1280
ON/OFF,719,803,91,96,dc97558_ideal.jpg,964,1280
FRY,630,818,87,85,dc97558_ideal.jpg,964,1280
WARM,547,822,85,80,dc97558_ideal.jpg,964,1280
HOTPOT,465,821,81,82,dc97558_ideal.jpg,964,1280
400W,485,498,60,46,dc97558_rotate.jpg,1280,964
800W,553,468,62,36,dc97558_rotate.jpg,1280,964
1200W,617,437,61,43,dc97558_rotate.jpg,1280,964
1600W,683,406,59,42,dc97558_rotate.jpg,1280,964
2000W,743,376,68,42,dc97558_rotate.jpg,1280,964
ON/OFF,1032,292,143,139,dc97558_rotate.jpg,1280,964
FRY,928,377,117,99,dc97558_rotate.jpg,1280,964
WARM,807,440,110,102,dc97558_rotate.jpg,1280,964
HOTPOT,675,483,127,111,dc97558_rotate.jpg,1280,964
