label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
99.30,325,281,275,109,DC98177_ideal.jpg,960,1280
Cd,261,417,62,46,DC98177_ideal.jpg,960,1280
Tuner,352,416,83,38,DC98177_ideal.jpg,960,1280
Tapes,448,422,89,48,DC98177_ideal.jpg,960,1280
Aux,570,415,48,52,DC98177_ideal.jpg,960,1280
Stop,463,550,61,34,DC98177_ideal.jpg,960,1280
Tone,561,546,62,38,DC98177_ideal.jpg,960,1280
Volume,724,414,101,48,DC98177_ideal.jpg,960,1280
Eco,99,422,61,42,DC98177_ideal.jpg,960,1280
99.30,308,357,223,93,DC98177_blurry.jpg,960,1280
Cd,273,466,39,34,DC98177_blurry.jpg,960,1280
Tuner,338,465,47,38,DC98177_blurry.jpg,960,1280
Tapes,403,467,64,45,DC98177_blurry.jpg,960,1280
Aux,494,473,48,37,DC98177_blurry.jpg,960,1280
Stop,401,568,66,31,DC98177_blurry.jpg,960,1280
Tone,482,566,54,37,DC98177_blurry.jpg,960,1280
Volume,604,466,81,42,DC98177_blurry.jpg,960,1280
99.30,363,479,229,79,DC98177_glare.jpg,960,1280
99.30,571,371,177,157,DC98177_rotated.jpg,960,1280
