label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
2,583,486,55,94,Blur.jpg,1280,960
max,386,464,53,39,Blur.jpg,1280,960
9,440,460,18,42,Blur.jpg,1280,960
kg,457,460,28,45,Blur.jpg,1280,960
Cotton,256,504,152,64,Blur.jpg,1280,960
3,224,572,27,53,Blur.jpg,1280,960
hrs,251,576,39,50,Blur.jpg,1280,960
40,294,571,48,52,Blur.jpg,1280,960
min,341,575,45,45,Blur.jpg,1280,960
2,404,638,43,72,Clear.jpg,960,1280
max,249,619,43,23,Clear.jpg,960,1280
9,291,617,11,26,Clear.jpg,960,1280
kg,303,617,23,27,Clear.jpg,960,1280
Cotton,144,648,121,44,Clear.jpg,960,1280
3,118,700,19,31,Clear.jpg,960,1280
hrs,137,701,34,31,Clear.jpg,960,1280
40,171,699,40,33,Clear.jpg,960,1280
min,212,698,35,35,Clear.jpg,960,1280
2,432,697,41,70,Glare.jpg,960,1280
max,267,674,43,22,Glare.jpg,960,1280
9,311,672,15,24,Glare.jpg,960,1280
kg,325,673,22,27,Glare.jpg,960,1280
Cotton,156,704,127,49,Glare.jpg,960,1280
3,127,761,22,33,Glare.jpg,960,1280
hrs,148,767,35,29,Glare.jpg,960,1280
40,184,762,43,33,Glare.jpg,960,1280
min,224,768,40,29,Glare.jpg,960,1280
2,522,462,57,86,Rotate.jpg,1280,960
max,326,436,56,26,Rotate.jpg,1280,960
9,382,432,19,31,Rotate.jpg,1280,960
kg,400,434,25,34,Rotate.jpg,1280,960
Cotton,196,472,151,53,Rotate.jpg,1280,960
3,162,539,25,36,Rotate.jpg,1280,960
hrs,187,544,40,31,Rotate.jpg,1280,960
40,228,538,52,38,Rotate.jpg,1280,960
min,280,546,43,30,Rotate.jpg,1280,960
