label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
UTN12000542,121,813,202,29,IMG_20221122_063311_285.jpg,576,1280
U021153.2,116,569,220,47,IMG_20221122_063311_285.jpg,576,1280
ELEU6990902,423,115,85,15,IMG_20221122_063311_387.jpg,1280,576
1000mpkWh,694,219,65,18,IMG_20221122_063311_387.jpg,1280,576
Comm,714,285,33,17,IMG_20221122_063311_387.jpg,1280,576
SINGLE PHASE 2 WIRE ELECTRONIC,445,258,227,11,IMG_20221122_063311_387.jpg,1280,576
PREPAID kWh METER,489,271,132,13,IMG_20221122_063311_387.jpg,1280,576
UTN12000542,401,299,12,104,IMG_20221122_063311_387.jpg,1280,576
UTN12000542,444,420,202,29,IMG_20221122_063311_387.jpg,1280,576
Select,718,370,33,16,IMG_20221122_063311_387.jpg,1280,576
Power,721,471,34,12,IMG_20221122_063311_387.jpg,1280,576
Property of,655,442,45,11,IMG_20221122_063311_387.jpg,1280,576
Year Manufactured,571,460,70,14,IMG_20221122_063311_387.jpg,1280,576
2011,589,471,34,17,IMG_20221122_063311_387.jpg,1280,576
Manufactured by,498,462,64,13,IMG_20221122_063311_387.jpg,1280,576
U021153.2,438,179,230,60,IMG_20221122_063311_387.jpg,1280,576
ELEU6990902,86,559,88,15,IMG_20221122_063311_703.jpg,576,1280
C00001.92,113,624,220,45,IMG_20221122_063311_703.jpg,576,1280
1000mpkWh,364,661,75,15,IMG_20221122_063311_703.jpg,576,1280
Comm,387,728,36,15,IMG_20221122_063311_703.jpg,576,1280
SINGLE PHASE 2 WIRE ELECTRONIC,114,698,226,17,IMG_20221122_063311_703.jpg,576,1280
PREPAID kWh METER,156,715,135,15,IMG_20221122_063311_703.jpg,576,1280
Information Code:,112,735,86,12,IMG_20221122_063311_703.jpg,576,1280
Select,391,816,34,17,IMG_20221122_063311_703.jpg,576,1280
Power,394,918,36,15,IMG_20221122_063311_703.jpg,576,1280
Property of,325,891,45,13,IMG_20221122_063311_703.jpg,576,1280
UTN12000542,115,869,204,27,IMG_20221122_063311_703.jpg,576,1280
2011,259,923,37,13,IMG_20221122_063311_703.jpg,576,1280
Year Manufactured,239,911,73,13,IMG_20221122_063311_703.jpg,576,1280
Manufactured by,169,911,62,14,IMG_20221122_063311_703.jpg,576,1280
UTN12000542,72,742,14,106,IMG_20221122_063311_703.jpg,576,1280
ELEU6990902,91,348,101,19,IMG_20221122_063311_972.jpg,576,1280
1000mpkWh,414,472,87,14,IMG_20221122_063311_972.jpg,576,1280
Comm,441,549,41,20,IMG_20221122_063311_972.jpg,576,1280
SINGLE PHASE 2 WIRE ELECTRONIC,125,516,258,20,IMG_20221122_063311_972.jpg,576,1280
PREPAID kWh METER,167,537,164,14,IMG_20221122_063311_972.jpg,576,1280
Information Code:,126,558,95,18,IMG_20221122_063311_972.jpg,576,1280
Select,438,655,50,15,IMG_20221122_063311_972.jpg,576,1280
Power,440,768,50,17,IMG_20221122_063311_972.jpg,576,1280
Property of,366,737,52,12,IMG_20221122_063311_972.jpg,576,1280
UTN12000542,126,711,229,33,IMG_20221122_063311_972.jpg,576,1280
Year Manufactured,266,757,82,18,IMG_20221122_063311_972.jpg,576,1280
2011,290,773,38,13,IMG_20221122_063311_972.jpg,576,1280
Manufactured by,189,760,68,15,IMG_20221122_063311_972.jpg,576,1280
UTN12000542,75,569,17,126,IMG_20221122_063311_972.jpg,576,1280
1,163,434,34,54,IMG_20221122_063311_972.jpg,576,1280
r,118,452,32,35,IMG_20221122_063311_972.jpg,576,1280
00.36,246,431,139,56,IMG_20221122_063311_972.jpg,576,1280
